lemma	codlem	gen	codmorf	keep	throwLst
honorifico	V1		VmF	h0544	D79D7
horripilo	V1		VmF	h0599	D79HG
hostio	V4		VmL	h0638	D7A6F
hymnio	V4		VmL	h0724	D7B2A
illatebro	V1		VmF	i0195	D7C73
illecebro	V1		VmF	i0207	D7C78,D7C7A
illudio	V1		VmF	i0262	D7C9C
imbubino	V1		VmF	i0324	D7CFC
imbulbito	V1		VmF	i0325	D7CFE
immadido	V1		VmF	i9340	D7CH5
immasso	V1		VmF	i0349	D7CHD
impedico	V1		VmF	i0459	D7D5C
impedito	V1		VmF	i9462	D7D61
implago	V1		VmF	i0558	D7DBA,D7DBB
impleo	V2		VmG	i0566	D7DCA
implicito	V1		VmF	i0573	D7DD3
imprecor	V1		VmF	i0626	D7DH7
impulso	V1		VmF	i0679	D7E36
inaltero	V1		VmF	i0745	D7E73
inaquo	V1		VmF	i0775	D7E84,D7E85
incallo	V1		VmF	i0820	D7EB5
incandido	V1		VmF	i0823	D7EC1
incibo	V1		VmF	i0895	D7F2B
incinero	V1		VmF	i0903	D7F39
incoprio	V1		VmF	i1079	D7FE3
inculpo	V1		VmF	i1141	D7G06
inequito	V1		VmF	i1428	D7GH5
infanto	V1		VmF	i1517	D7H2D
infelico	V1		VmF	i1534	D7H45
inficior	V1		VmF	i1595	D7H6C
inflabello	V1		VmF	i1596	D7H8B
inflagro	V1		VmF	i1598	D7H8D
ingusto	V1		VmF	i1721	D802B
inhonoro	V1		VmF	i1746	D8042
inito	V1		VmF	i1790	D7H7E
iniuro	V1		VmF	i1803	D8074,D807E
inorno	V1		VmF	i1908	D80F0
inoro	V1		VmF	i1909	D80EB
