LiLaRef	LemLatLST	lemmaLST
lemma/109609	113190(D868C),113191(D868D),22186(l0015)	la"bellum,labellum
lemma/109629	113247(D86CG),22191(l0034)	la'brum,labrum
lemma/109643	113292(D86FA),22238(l0046)	lacer,lacerus
lemma/109655	113306(D86F9),22249(l0056)	lacertosus,lacertuosus
lemma/109673	113329(D86H1),22270(l0073)	lacrimatorius,lacrymatorius
lemma/109725	114588(D8B11),22322(l0118)	laetamen,letamen
lemma/109752	113443(D875D),113456(D876D),22347(l0138)	lagena,lagona,laguna
lemma/109757	113187(D8687),22209(l0141)	labea,labia
lemma/109788	113520(D87AC),113703(D8831),22378(l0169)	lamina,lamna,lanna
lemma/109813	113587(D87E6),22402(l0189)	lancea,lancia
lemma/109816	113579(D87DH),22409(l0192)	lanceola,lanciola
lemma/109821	114039(D894E),22618(l0197)	latrina,lauatrina
lemma/109878	113958(D88H6),22462(l0243)	lanterna,laterna
lemma/109941	113847(D88BE),22519(l0294)	largio,largior
lemma/109950	113828(D88AG),22528(l0303)	lardum,laridum
lemma/110041	113801(D888B),22496(l0381)	lapsanium,lapsanum
lemma/110076	115865(D8F80),23364(l0409)	lonchus,lunchus
lemma/110110	113984(D8911),22684(l0439)	latomiae,lautumiae
lemma/110161	114383(D8A6F),22750(l0482)	legerupa,legirupa
lemma/110212	114471(D8AD8),22799(l0528)	lens,lentis
lemma/110293	114600(D8B20),22878(l0594)	lethum,letum
lemma/110327	114637(D8B8D),22701(l0625)	le'uis,leuis
lemma/110331	114667(D8B5H),22916(l0629)	leuca,leuga
lemma/110349	114621(D8B3H),22703(l0646)	le'uo,leuo
lemma/110396	114401(D8A80),22772(l0688)	legumenarius,leguminarius
lemma/110416	114844(D8BH1),22940(l0704)	li'brarius,librarius
lemma/110417	114845(D8BGG),22939(l0704)	li'braria,libraria
lemma/110450	115194(D8D1F),23142(l0730)	linea,linia
lemma/110458	114946(D8C50),23045(l0735)	lienteria,lientheria
lemma/110483	114399(D8A7H),23071(l0755)	legula,ligula
lemma/110552	115196(D8D20),23144(l0813)	lineamentum,liniamentum
lemma/110583	115226(D8D3D),23178(l0842)	linostemus,linostimus
lemma/110668	115317(D8D92),23268(l0922)	litera,littera
lemma/110743	115484(D8E3A),23343(l0986)	logeum,logium
lemma/110762	115828(D8F62),23360(l1001)	lomentum,lumentum
lemma/110812	115917(D8FB1),23409(l1048)	lorica,lurica
lemma/110829	115965(D8FDD),23425(l1062)	lotor,lutor
lemma/110887	115753(D8F00),23491(l1111)	lucro,lucror
lemma/110947	115803(D8F4B),23546(l1164)	luicio,luitio
lemma/110993	115603(D8E95),23592(l1201)	lora,lura
lemma/111038	115954(D8FD5),23428(l1241)	lu"teus,luteus
lemma/111047	115947(D8FDH),23429(l1249)	lu"tum,lutum
lemma/111069	115980(D8FED),23672(l1268)	lychinus,lychnus
lemma/111070	114892(D8C1C),23673(l1269)	licisca,lycisca
lemma/111078	115107(D8CEH),23682(l1276)	limpa,lympha
lemma/111121	114844(D8BH1),22938(l9881)	li"brarius,librarius
lemma/111122	114845(D8BGG),22937(l9881)	li"braria,libraria
lemma/111134	114702(D8B89),22700(l9893)	le'uigo,leuigo
lemma/111147	114642(D8B3D),22699(l9905)	le'uamentum,leuamentum
lemma/111154	115954(D8FD5),23430(l9910)	lu'teus,luteus
lemma/111156	115947(D8FDH),23431(l9911)	lu'tum,lutum
lemma/111187	116044(D8G01),23731(m0019)	macera,machaera
lemma/111233	118596(D969F),24298(m0063)	me'na,mena
lemma/111242	116330(D8GHH),23787(m0070)	maea,maia
lemma/111254	119108(D985A),119888(D9AH6),23799(m0081)	maestitia,mestitia,moestitia
lemma/111324	116315(D8GH0),23866(m0135)	magudaris,magydaris
lemma/111327	116353(D8H14),23869(m0138)	maiestus,maiiestus
lemma/111379	116604(D8HFC),23918(m0181)	maleuolentia,maliuolentia
lemma/111401	118662(D96DD),23791(m0200)	maenianum,menianum
lemma/111409	116652(D900C),23946(m0207)	malobathratus,malobatratus
lemma/111414	116674(D901F),23950(m0212)	malta,maltha
lemma/111419	116448(D9035),116449(D9036),23710(m0216)	ma'lum,malum
lemma/111422	116448(D9035),116449(D9036),23709(m0218)	ma"lum,malum
lemma/111442	116739(D905E),23977(m0235)	mammula,mamula
lemma/111466	121032(D9ED6),121048(D9EE7),25626(m0257)	murina,murrhina,murrina
lemma/111549	117203(D91EE),24085(m0332)	mantisa,mantissa
lemma/111580	121129(D9F1A),25367(m0357)	mu'seus,museus
lemma/111601	117761(D93D0),24135(m0376)	marculus,martulus
lemma/111648	117749(D93C2),24186(m0414)	martira,martyra
lemma/111649	117750(D93C4),24187(m0414)	martirium,martyrium
lemma/111651	121078(D9EFH),121130(D9F19),25366(m0415)	mu'seum,musaeum,museum
lemma/111677	117945(D9464),24212(m0438)	mastruca,mastruga
lemma/111683	117986(D9498),24217(m0443)	mataris,materis
lemma/111684	119150(D9883),24218(m0444)	mataxa,metaxa
lemma/111708	118006(D949G),24241(m0462)	matesis,mathesis
lemma/111730	116136(D8G64),24262(m0483)	mactea,mattea
lemma/111747	116196(D8G9G),24280(m0498)	mafors,mauors
lemma/111766	118230(D9558),24309(m0513)	mecanicus,mechanicus
lemma/111777	118267(D9574),24320(m0523)	medela,medella
lemma/111785	118295(D9591),24329(m0529)	mediastinus,mediastrinus
lemma/111809	60307(50752),24297(m0549)	me'dicus,medicus
lemma/111810	118311(D959F),24294(m0549)	me'dica,medica
lemma/111814	121078(D9EFH),121130(D9F19),121073(D9F2A),25363(m0551)	mu"seum,musaeum,museum,musium
lemma/111835	121129(D9F1A),25364(m0569)	mu"seus,museus
lemma/111864	118456(D9611),24400(m0595)	melancholia,melancolia
lemma/111884	118448(D963A),24418(m0611)	meles,melis
lemma/111894	118513(D964C),24426(m0619)	melicraton,mellicratum
lemma/111898	118480(D962A),24427(m0620)	melichus,melicus
lemma/111904	118487(D9631),24293(m0624)	me"li'nus,melinus
lemma/111968	118539(D9665),24487(m0675)	melota,melote
lemma/112006	118577(D9688),24526(m0706)	memoro,memoror
lemma/112031	118797(D9744),24621(m0726)	mercenarius,mercennarius
lemma/112046	118944(D97GE),24563(m0739)	mensis,mesis
lemma/112084	118764(D9725),24604(m0771)	meracus,meratus
lemma/112102	150140(D8G97),118780(D9732),24624(m0787)	maercor,mercor
lemma/112103	118767(D9731),24624(m0787)	merco,mercor
lemma/112132	148259(D9799),24653(m0812)	meridio,meridior
lemma/112235	119122(D987C),24757(m0894)	meto,metor
lemma/112264	119543(D99DE),24909(m0921)	minuscularii,minutularii
lemma/112282	121057(D9EEF),25766(m0939)	murteta,myrteta
lemma/112283	121056(D9EEG),25767(m0940)	murtetum,myrtetum
lemma/112284	121183(D9F49),24281(m0941)	mausoleum,musuleum
lemma/112292	119279(D98FA),24779(m0951)	mica,micha
lemma/112327	119382(D993G),24819(m0985)	milio,millio
lemma/112328	119375(D9938),24820(m0986)	milipeda,millepeda
lemma/112346	119366(D992F),24842(m1003)	millago,miluago
lemma/112362	119793(D9ABE),24859(m1016)	mina,mna
lemma/112400	119393(D9959),24897(m1048)	mino,minor
lemma/112409	148266(D99CC),24906(m1058)	minurio,minurrio
lemma/112420	119516(D99C5),24918(m1068)	minucio,minutio
lemma/112421	119716(D9A6A),25011(m1069)	mistura,mixtura
lemma/112443	119546(D99F6),24943(m1092)	miro,miror
lemma/112493	119743(D9A82),24997(m1138)	mithra,mitra
lemma/112525	119830(D9ADF),25035(m1167)	modero,moderor
lemma/112564	118662(D96DD),25076(m1201)	menianum,moenianum
